Code,Name,Image name,Parent Category Code (optional)
BP101,Grocery & Staples,,
BP102,Equipment,,
BPD1,Indiagate MiniMogra Basmati Rice 10 Kg,,BP101
BPD2,MM CASHEWS CASHEW WHOLE,,BP101
BPD3,MM CASHEWS W320 250G,,BP101
BPD4,MM CASHEWS W320 500G,,BP101
BPD5,MM CASHEWS WW 250G,,BP101
BPD6,MM CASHEWS WW 500G,,BP101
BPD7,MM CASHEWS 2 PC 500G,,BP101
BPD8,MM CASHEWS 4PC 250G,,BP101
BPD9,RUCHI NUTRELA CHUNK 200 GM,,BP101
BPD10,RUCHI NUTRELA GRANUL 200 GM,,BP101
BPD11,RUCHI NUTRELA MINI CHUNK 200 GM,,BP101
BPD12,WEIKFIELD CORN FLOUR 100 GM,,BP101
BPD13,WEIKFIELD CORN FLOUR 500 GM,,BP101
BPD14,Patanjali,,BP101
BPD15,Scissors,,BP102
BPD16,Gears,,BP102
