Code,Price,MRP
03224443,4650,4650
06857632,4300,4300
08018097,4300,4300
106540303,4300,4300
12408333,4300,4300
126224994,4650,4650
128233413,4650,4650
135505670,4100,4100
14106638,4650,4650
169609611,4650,4650
172469393,4300,4300
18635978,5950,5950
19266330,5950,5950
193300577,5650,5650
24755880,4300,4300
268616573,4650,4650
27934016,4650,4650
310880028,4650,4650
334057598,4300,4300
339637100,4300,4300
345448060,4000,4000
350369269,4650,4650
350398954,5950,5950
359079146,4650,4650
376623948,4650,4650
395449530,4650,4650
401133181,4300,4300
401446287,4350,4350
424273259,4650,4650
42604768,4300,4300
42980347,5950,5950
431548540,4300,4300
43394951,4300,4300
43481678,4650,4650
461363701,4650,4650
46585956,4300,4300
485020449,4650,4650
498351816,4650,4650
504892120,4300,4300
52988562,4300,4300
53060662,4300,4300
550517129,4300,4300
556835600,4350,4350
56386307,4300,4300
566356508,5650,5650
57953111,4300,4300
58363177,4650,4650
584050902,5950,5950
59560230,4300,4300
60264817,4650,4650
60771320,4300,4300
616532979,4300,4300
617216899,4650,4650
62013502,4300,4300
62593657,4300,4300
630613549,4650,4650
64470387,4300,4300
674991763,4650,4650
676274622,4650,4650
681053089,4650,4650
68647605,5950,5950
70776042,4300,4300
710499361,4350,4350
744523519,4650,4650
74802155,4650,4650
76062431,4650,4650
79146545,4300,4300
793866710,4350,4350
794930931,4650,4650
797012682,4650,4650
822100124,4300,4300
82367370,4300,4300
82497871,4300,4300
831560037,4650,4650
83538379,4300,4300
83724815,4000,4000
84393940,4300,4300
880528204,4650,4650
89554430,4650,4650
90025211,4300,4300
90292862,4300,4300
906033618,4650,4650
924750933,4650,4650
932924416,4650,4650
976859921,4300,4300
977896681,4300,4300
